service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0","1","1","1","1","1","0","0","20220811","20220825"
"T0_1","1","1","1","1","1","0","0","20220828","20220917"
"T0_2","1","1","1","1","1","0","0","20220918","20221002"
"T0_3","1","1","1","1","1","0","0","20221003","20221023"
"T0+a5","1","1","1","1","0","0","0","20220811","20220825"
"T0+a5_1","1","1","1","1","0","0","0","20220828","20220917"
"T0+a5_2","1","1","1","1","0","0","0","20220918","20221002"
"T0+a5_3","1","1","1","1","0","0","0","20221003","20221023"
"T0+a6","0","0","0","0","1","0","0","20220811","20220825"
"T0+a6_1","0","0","0","0","1","0","0","20220828","20220917"
"T0+a6_2","0","0","0","0","1","0","0","20220918","20221002"
"T0+a6_3","0","0","0","0","1","0","0","20221003","20221023"
"T0+ao","1","0","0","0","0","0","0","20220811","20220825"
"T0+ao_1","1","0","0","0","0","0","0","20220828","20220917"
"T0+ao_2","1","0","0","0","0","0","0","20220918","20221002"
"T0+ao_3","1","0","0","0","0","0","0","20221003","20221023"
"T0+ap","0","1","0","0","0","0","0","20220811","20220825"
"T0+ap_1","0","1","0","0","0","0","0","20220828","20220917"
"T0+ap_2","0","1","0","0","0","0","0","20220918","20221002"
"T0+ap_3","0","1","0","0","0","0","0","20221003","20221023"
"T0+aq","0","0","1","0","0","0","0","20220811","20220825"
"T0+aq_1","0","0","1","0","0","0","0","20220828","20220917"
"T0+aq_2","0","0","1","0","0","0","0","20220918","20221002"
"T0+aq_3","0","0","1","0","0","0","0","20221003","20221023"
"T0+ar","0","0","0","1","0","0","0","20220811","20220825"
"T0+ar_1","0","0","0","1","0","0","0","20220828","20220917"
"T0+ar_2","0","0","0","1","0","0","0","20220918","20221002"
"T0+ar_3","0","0","0","1","0","0","0","20221003","20221023"
"T0+li","1","0","1","0","0","0","0","20220811","20220825"
"T0+li_1","1","0","1","0","0","0","0","20220828","20220917"
"T0+li_2","1","0","1","0","0","0","0","20220918","20221002"
"T0+li_3","1","0","1","0","0","0","0","20221003","20221023"
"T0+lk","1","0","0","1","0","0","0","20220811","20220825"
"T0+lk_1","1","0","0","1","0","0","0","20220828","20220917"
"T0+lk_2","1","0","0","1","0","0","0","20220918","20221002"
"T0+lk_3","1","0","0","1","0","0","0","20221003","20221023"
"T0+lm","1","0","0","0","1","0","0","20220811","20220825"
"T0+lm_1","1","0","0","0","1","0","0","20220828","20220917"
"T0+lm_2","1","0","0","0","1","0","0","20220918","20221002"
"T0+lm_3","1","0","0","0","1","0","0","20221003","20221023"
"T0+lq","0","1","0","1","0","0","0","20220811","20220825"
"T0+lq_1","0","1","0","1","0","0","0","20220828","20220917"
"T0+lq_2","0","1","0","1","0","0","0","20220918","20221002"
"T0+lq_3","0","1","0","1","0","0","0","20221003","20221023"
"T0+ls","0","1","0","0","1","0","0","20220811","20220825"
"T0+ls_1","0","1","0","0","1","0","0","20220828","20220917"
"T0+ls_2","0","1","0","0","1","0","0","20220918","20221002"
"T0+ls_3","0","1","0","0","1","0","0","20221003","20221023"
"T0+lw","0","0","1","0","1","0","0","20220811","20220825"
"T0+lw_1","0","0","1","0","1","0","0","20220828","20220917"
"T0+lw_2","0","0","1","0","1","0","0","20220918","20221002"
"T0+lw_3","0","0","1","0","1","0","0","20221003","20221023"
"T0+pa","0","1","1","1","1","0","0","20220811","20220825"
"T0+pa_1","0","1","1","1","1","0","0","20220828","20220917"
"T0+pa_2","0","1","1","1","1","0","0","20220918","20221002"
"T0+pa_3","0","1","1","1","1","0","0","20221003","20221023"
"T0+pc","1","1","0","1","1","0","0","20220811","20220825"
"T0+pc_1","1","1","0","1","1","0","0","20220828","20220917"
"T0+pc_2","1","1","0","1","1","0","0","20220918","20221002"
"T0+pc_3","1","1","0","1","1","0","0","20221003","20221023"
"T0+pl","0","1","1","0","1","0","0","20220811","20220825"
"T0+pl_1","0","1","1","0","1","0","0","20220828","20220917"
"T0+pl_2","0","1","1","0","1","0","0","20220918","20221002"
"T0+pl_3","0","1","1","0","1","0","0","20221003","20221023"
"T0+pp","1","0","0","1","1","0","0","20220811","20220825"
"T0+pp_1","1","0","0","1","1","0","0","20220828","20220917"
"T0+pp_2","1","0","0","1","1","0","0","20220918","20221002"
"T0+pp_3","1","0","0","1","1","0","0","20221003","20221023"
"T0+pr","1","0","1","0","1","0","0","20220811","20220825"
"T0+pr_1","1","0","1","0","1","0","0","20220828","20220917"
"T0+pr_2","1","0","1","0","1","0","0","20220918","20221002"
"T0+pr_3","1","0","1","0","1","0","0","20221003","20221023"
"T0+pt","1","0","1","1","0","0","0","20220811","20220825"
"T0+pt_1","1","0","1","1","0","0","0","20220828","20220917"
"T0+pt_2","1","0","1","1","0","0","0","20220918","20221002"
"T0+pt_3","1","0","1","1","0","0","0","20221003","20221023"
"T0+px","1","1","0","1","0","0","0","20220811","20220825"
"T0+px_1","1","1","0","1","0","0","0","20220828","20220917"
"T0+px_2","1","1","0","1","0","0","0","20220918","20221002"
"T0+px_3","1","1","0","1","0","0","0","20221003","20221023"
"T2","0","0","0","0","0","1","0","20220723","20220723"
"T2_1","0","0","0","0","0","1","0","20220730","20220730"
"T2_2","0","0","0","0","0","1","0","20220806","20220806"
"T2_3","0","0","0","0","0","1","0","20220811","20220825"
"T2_4","0","0","0","0","0","1","0","20220826","20220827"
"T2_5","0","0","0","0","0","1","0","20220828","20220917"
"T2_6","0","0","0","0","0","1","0","20220918","20221002"
"T2_7","0","0","0","0","0","1","0","20221003","20221023"
"T5","0","0","1","1","0","0","0","20220727","20220728"
"T5_1","1","1","1","0","0","0","0","20220801","20220803"
"T5_2","1","1","0","0","0","0","0","20220808","20220809"
"T5+ao","1","0","0","0","0","0","0","20220808","20220809"
"T5+ao_1","1","0","0","0","0","0","0","20220801","20220803"
"T5+ap","0","1","0","0","0","0","0","20220801","20220803"
"T5+aq","0","0","1","0","0","0","0","20220801","20220803"
