coordinates,university,campus,suburb,candidate_ranking,rent_ranking,crime_ranking,transport_ranking,rent
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Plenty,1,0.12,0.59,0.9,392
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Macleod,2,0.11,0.51,0.96,396
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,South Morang,3,0.13,0.49,0.96,390
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Watsonia North,4,0.09,0.63,0.83,401
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Yallambie,5,0.23,0.5,0.79,340
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Yarrambat,6,0.05,0.56,0.87,450
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Lalor,7,0.19,0.32,0.96,351
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Greensborough,8,0.09,0.37,0.95,404
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Watsonia,9,0.13,0.27,0.95,385
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Reservoir,10,0.18,0.18,0.97,360
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Thomastown,11,0.21,0.15,0.96,350
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Epping,12,0.17,0.18,0.96,361
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Mill Park,13,0.17,0.3,0.81,366
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Kingsbury,14,0.17,0.14,0.93,361
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Preston,15,0.12,0.12,0.98,392
"-37.721470725876586, 145.05018442866754",La Trobe University,Bundoora,Heidelberg West,16,0.28,0.06,0.85,306
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Murrumbeena,1,0.13,0.45,1.0,386
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Carnegie,2,0.12,0.42,1.0,395
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Wheelers Hill,3,0.03,0.55,0.9,481
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Mount waverley,4,0.03,0.43,0.96,476
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Notting Hill,5,0.16,0.32,0.94,371
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Oakleigh east,6,0.07,0.4,0.94,425
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Burwood,7,0.08,0.38,0.92,411
"-37.91281395077763, 145.1359658075086",Monash University,Clayton,Clayton South,8,0.14,0.24,1.0,381
