station_stop_id,SAL
"﻿""17204""",Wallan
19980,Melton South
19981,Rockbank
19982,Deer Park
19998,Sunbury
20020,Ardeer
20029,Craigieburn
20288,Ararat
20289,Avenel
20290,Maddingley
20291,Bairnsdale
20292,Ballan
20293,Ballarat Central
20294,Beaufort
20295,Benalla
20296,Bendigo
20297,Birregurra
20298,Broadford
20299,Bunyip
20300,Camperdown
20301,Castlemaine
20302,Chiltern
20303,Clarkefield
20304,Colac
20305,Corio
20306,Dingee
20307,Donnybrook
20308,Drouin
20309,Eaglehawk
20310,Echuca
20311,Elmore
20312,Euroa
20313,Garfield
20314,Geelong
20315,New Gisborne
20316,Heathcote Junction
20317,Kangaroo Flat
20318,Kerang
20319,Kilmore East
20320,Kyneton
20321,Lara
20323,Little River
20324,Longwarry
20325,Macedon
20326,Malmsbury
20327,Marshall
20328,Moe
20329,Mooroopna
20330,Morwell
20331,Murchison East
20332,Nagambie
20333,Nar Nar Goon
20334,North Geelong
20335,North Shore
20336,Pyramid Hill
20337,Riddells Creek
20338,Rochester
20339,Rosedale
20341,Sale
20342,Seymour
20343,Shepparton
20344,South Geelong
20345,Springhurst
20346,Stratford
20347,Swan Hill
20348,Tallarook
20349,Terang
20350,Trafalgar
20351,Traralgon
20352,Tynong
20353,Violet Town
20355,Wandong
20356,Wangaratta
20357,Warragul
20358,Warrnambool
20359,Winchelsea
20360,Wodonga
20361,Woodend
20362,Yarragon
20616,Nhill
20617,Dimboola
20618,Horsham
22239,West Melbourne
22240,Footscray
22241,Sunshine
22244,Sydenham
22247,Richmond
22248,Caulfield East
22249,Clayton
22250,Dandenong
22251,Berwick
22252,Pakenham
22253,Essendon
22254,Broadmeadows
22257,Warrnambool
43469,Wendouree
44951,Creswick
44952,Clunes
44953,Maryborough
45918,Stawell
47482,Talbot
47641,Waurn Ponds
47642,Epsom
47647,Manor Lakes
47648,Tarneit
48804,Cobblebank
49295,Raywood
49296,Huntly
51809,Goornong
52011,Ravenhall
"﻿""15351""",Sunbury
15353,Diggers Rest
19827,Crib Point
19828,Crib Point
19829,Crib Point
19830,Bittern
19831,Hastings
19832,Tyabb
19833,Somerville
19834,Baxter
19835,Glen Iris
19836,Frankston
19837,Malvern East
19838,Malvern East
19839,Malvern East
19840,Mount Waverley
19844,Belgrave
19845,Tecoma
