stop_id,SAL
"﻿""10311""",Malvern
10371,Armadale
1083,Maribyrnong
11285,Armadale
1185,Malvern East
12599,Armadale
1291,Malvern East
1292,Coburg
13401,Prahran
13995,Maribyrnong
14033,Prahran
14614,Prahran
14728,Prahran
15559,Maribyrnong
15699,Prahran
1575,Malvern East
16610,Prahran
16713,Coburg
16714,Coburg
16715,Coburg
16716,Coburg
16717,Coburg
16718,Prahran
16719,Brunswick
16720,Brunswick
16721,Brunswick
16722,Brunswick
16723,Brunswick
16724,Brunswick
16725,Brunswick
16726,Brunswick
16727,Brunswick
16728,Brunswick
16730,Parkville
16731,Parkville
16732,Parkville
16733,Parkville
16734,Parkville
16735,Parkville
16736,Parkville
16738,Prahran
16739,Prahran
16740,Prahran
16741,Prahran
16742,Armadale
16743,Armadale
16744,Armadale
16745,Armadale
16746,Armadale
16747,Malvern
16748,Malvern
16749,Malvern
16750,Malvern
16751,Glen Iris
16752,Glen Iris
16753,Glen Iris
16754,Glen Iris
16755,Glen Iris
16757,Glen Iris
16758,Glen Iris
16759,Glen Iris
16760,Glen Iris
16761,Glen Iris
16762,Glen Iris
16764,Malvern
16765,Malvern
16766,Malvern
16767,Malvern
16768,Armadale
16769,Armadale
16770,Armadale
16771,Armadale
16772,Armadale
16773,Armadale
16774,Prahran
16775,Prahran
16776,Prahran
16777,Prahran
16778,Prahran
1696,Malvern East
17306,Coburg North
17307,Coburg North
17308,Coburg North
17309,Coburg North
17310,Coburg
17311,Coburg
17312,Coburg
17313,Coburg
17314,Coburg
17315,Coburg
17316,Coburg
17317,Coburg
17318,Coburg
17319,Brunswick
17320,Brunswick
17321,Brunswick
17322,Brunswick
17323,Brunswick
17324,Brunswick
17325,Brunswick
17327,Brunswick
17329,Parkville
17330,Parkville
17331,Parkville
17332,Parkville
17333,Parkville
17334,Parkville
17335,Parkville
17602,Prahran
17603,Prahran
17604,Windsor
17605,Windsor
17606,Windsor
1784,Coburg
17861,North Melbourne
17868,Parkville
17878,Fitzroy
17880,Fitzroy
1789,Malvern East
17892,East Melbourne
17894,Fitzroy
17895,East Melbourne
17896,East Melbourne
17897,East Melbourne
17915,East Melbourne
17917,Maribyrnong
17918,Maribyrnong
17919,Maribyrnong
17920,Maribyrnong
17921,Maidstone
17922,Maribyrnong
17923,Maribyrnong
17924,Maribyrnong
17925,Maribyrnong
17926,Maribyrnong
17927,Footscray
17928,Footscray
17929,Footscray
17930,Footscray
17931,Footscray
17932,Footscray
17933,Footscray
17934,Footscray
17935,Moonee Ponds
17936,Moonee Ponds
17937,Moonee Ponds
17938,Moonee Ponds
17940,Moonee Ponds
17941,Moonee Ponds
17942,Moonee Ponds
17944,Maribyrnong
17945,Ascot Vale
17946,Ascot Vale
17948,Ascot Vale
17949,Ascot Vale
17950,Ascot Vale
17951,Ascot Vale
17952,Flemington
17953,Flemington
17954,Flemington
17955,Flemington
17956,Flemington
17957,Flemington
17958,North Melbourne
17959,North Melbourne
17961,North Melbourne
18006,East Melbourne
18009,East Melbourne
18037,Docklands
18038,Docklands
18039,Docklands
18040,Docklands
18050,Carlton
18051,Fitzroy
18052,Docklands
18053,Docklands
18054,Docklands
18055,Docklands
18056,Docklands
18058,North Melbourne
18059,North Melbourne
18060,North Melbourne
18061,North Melbourne
18064,Parkville
18065,Parkville
18066,Parkville
18067,Parkville
18068,Parkville
18069,Brunswick West
18071,Brunswick West
18072,Brunswick West
18075,Brunswick
18076,Brunswick West
18077,Brunswick West
18078,Brunswick West
18079,Brunswick West
18081,Brunswick West
18083,Pascoe Vale South
18084,Pascoe Vale South
18085,Pascoe Vale South
18086,Pascoe Vale South
18093,East Melbourne
18094,East Melbourne
18095,East Melbourne
18097,East Melbourne
18099,Richmond
18100,East Melbourne
18102,East Melbourne
18103,East Melbourne
18179,Southbank
18180,Docklands
18181,Docklands
18182,Docklands
18183,Docklands
18184,Southbank
18185,Southbank
18197,Southbank
18203,West Melbourne
18204,West Melbourne
18205,North Melbourne
18206,North Melbourne
18215,Southbank
18217,South Melbourne
18218,Southbank
18219,South Melbourne
18221,South Melbourne
18222,Southbank
18223,South Melbourne
18224,Southbank
18225,Southbank
18226,Southbank
18227,Southbank
18229,Southbank
18230,Southbank
18231,Southbank
18232,Southbank
18233,Southbank
18341,Hawthorn
18342,Hawthorn
18343,Hawthorn
18347,Kew
18348,Kew
18349,Kew
18350,Kew
18351,Kew
18352,Kew
18353,Kew East
18354,Kew East
18355,Kew East
18356,Kew East
18357,Kew
18359,Balwyn North
18360,Balwyn North
18361,Balwyn North
18362,Balwyn North
18363,Balwyn North
18364,Elwood
18365,Elwood
18367,Elwood
18368,Elwood
18369,Elwood
18370,St Kilda East
18371,Elsternwick
18372,Elsternwick
18373,Elsternwick
18374,Elsternwick
18375,Elsternwick
18376,Elsternwick
18392,Elsternwick
18393,Caulfield
18394,Caulfield
18395,Caulfield
18396,Caulfield
18397,Caulfield
18398,Caulfield
18399,Caulfield
18400,Caulfield
