sal_code,sal_name,population,median_weekly_rent,crime_incidents,crime_rate,train_station,num_stops,transport_frequency
SAL20002,Abbotsford,9088,425,1507,0.1658230633802817,2,20,6881
SAL20003,Aberfeldie,3925,440,146,0.03719745222929936,0,18,788
SAL20004,Aberfeldy,7,0,0,0.0,0,0,0
SAL20005,Acheron,146,271,2,0.0136986301369863,0,2,44
SAL20006,Ada,0,0,0,0,0,0,0
SAL20007,Adams Estate,83,300,4,0.04819277108433735,0,0,0
SAL20008,Addington,65,150,0,0.0,0,0,0
SAL20009,Adelaide Lead,85,0,0,0.0,0,0,0
SAL20010,Agnes,61,195,0,0.0,0,0,0
SAL20011,Aintree,7982,420,0,0.0,0,19,171
SAL20012,Aire Valley,0,0,0,0,0,0,0
SAL20013,Aireys Inlet,979,350,24,0.024514811031664963,0,8,237
SAL20014,Airly,160,330,3,0.01875,0,0,0
SAL20015,Airport West,8173,401,793,0.09702679554631102,0,60,1178
SAL20016,Albacutya,0,0,0,0,0,0,0
SAL20017,Albanvale,5641,325,409,0.07250487502215919,0,26,154
SAL20018,Albert Park,6044,590,477,0.07892124420913302,0,20,968
SAL20019,Alberton,297,255,10,0.03367003367003367,0,2,185
SAL20020,Alberton West,76,210,15,0.19736842105263158,0,0,0
SAL20021,Albion,4334,301,521,0.12021227503461006,0,23,452
SAL20022,Alexandra,2801,240,138,0.04926811852909675,0,4,178
SAL20023,Alfredton,11822,365,625,0.05286753510404331,0,44,101
SAL20024,Allambee,24,0,7,0.2916666666666667,0,0,0
SAL20025,Allambee Reserve,96,100,6,0.0625,0,0,0
SAL20026,Allambee South,61,260,2,0.03278688524590164,0,0,0
SAL20027,Allans Flat,297,340,1,0.003367003367003367,0,0,0
SAL20028,Allansford,1410,268,52,0.03687943262411347,0,7,2
SAL20029,Allendale,185,187,2,0.010810810810810811,0,2,35
SAL20030,Allestree,168,263,6,0.03571428571428571,0,0,0
SAL20031,Alma,195,275,3,0.015384615384615385,0,0,0
SAL20032,Almonds,31,0,1,0.03225806451612903,0,0,0
SAL20033,Almurta,66,275,36,0.5454545454545454,0,0,0
SAL20034,Alphington,5702,451,238,0.041739740441950196,1,24,2567
SAL20035,Altona,11490,385,808,0.07032201914708443,2,72,3150
SAL20036,Altona Meadows,18479,341,1000,0.05411548243952595,0,46,422
SAL20037,Altona North,12962,400,898,0.06927943218639099,0.5,108,436
SAL20038,Alvie,141,250,0,0.0,0,1,10
SAL20039,Amherst,63,200,2,0.031746031746031744,0,0,0
SAL20040,Amor,4,0,0,0.0,0,0,0
SAL20041,Amphitheatre,223,233,11,0.04932735426008968,0,2,4
SAL20042,Anakie,734,300,37,0.05040871934604905,0,0,0
SAL20043,Ancona,99,295,3,0.030303030303030304,0,0,0
