sal_code,sal_name,population,median_weekly_rent
SAL20001,Abbeyard,4,0
SAL20002,Abbotsford,9088,425
SAL20003,Aberfeldie,3925,440
SAL20004,Aberfeldy,7,0
SAL20005,Acheron,146,271
SAL20006,Ada,0,0
SAL20007,Adams Estate,83,300
SAL20008,Addington,65,150
SAL20009,Adelaide Lead,85,0
SAL20010,Agnes,61,195
SAL20011,Aintree,7982,420
SAL20012,Aire Valley,0,0
SAL20013,Aireys Inlet,979,350
SAL20014,Airly,160,330
SAL20015,Airport West,8173,401
SAL20016,Albacutya,0,0
SAL20017,Albanvale,5641,325
SAL20018,Albert Park,6044,590
SAL20019,Alberton,297,255
SAL20020,Alberton West,76,210
SAL20021,Albion,4334,301
SAL20022,Alexandra,2801,240
SAL20023,Alfredton,11822,365
SAL20024,Allambee,24,0
SAL20025,Allambee Reserve,96,100
SAL20026,Allambee South,61,260
SAL20027,Allans Flat,297,340
SAL20028,Allansford,1410,268
SAL20029,Allendale,185,187
SAL20030,Allestree,168,263
SAL20031,Alma,195,275
SAL20032,Almonds,31,0
SAL20033,Almurta,66,275
SAL20034,Alphington,5702,451
SAL20035,Altona,11490,385
SAL20036,Altona Meadows,18479,341
SAL20037,Altona North,12962,400
SAL20038,Alvie,141,250
SAL20039,Amherst,63,200
SAL20040,Amor,4,0
SAL20041,Amphitheatre,223,233
SAL20042,Anakie,734,300
SAL20043,Ancona,99,295
SAL20044,Anderson,26,260
SAL20045,Anglers Rest,31,0
SAL20046,Anglesea,3208,405
SAL20047,Annuello,40,0
SAL20048,Antwerp,53,0
SAL20049,Apollo Bay,1790,300
SAL20050,Appin,12,50
SAL20051,Appin South,38,194
SAL20052,Apsley,329,113
SAL20053,Ararat,8500,250
SAL20054,Arawata,92,231
SAL20055,Arbuckle,0,0
SAL20056,Arcadia,212,200
SAL20057,Arcadia South,95,425
SAL20058,Archdale,23,0
SAL20059,Archdale Junction,12,225
SAL20060,Archerton,16,0
SAL20061,Archies Creek,32,300
SAL20062,Ardeer,3170,340
SAL20063,Ardmona,497,220
SAL20064,Areegra,18,0
SAL20065,Argyle,272,255
SAL20066,Armadale,9368,421
SAL20067,Armstrong,90,175
SAL20068,Armstrong Creek,11247,420
SAL20069,Arnold,56,100
SAL20070,Arnold West,19,154
SAL20071,Arthurs Creek,478,218
SAL20072,Arthurs Seat,414,435
SAL20073,Ascot,93,240
SAL20074,Ascot,2571,350
SAL20075,Ascot Vale,15197,370
SAL20076,Ashbourne,242,357
SAL20077,Ashburton,7952,455
SAL20078,Ashwood,7154,391
SAL20079,Aspendale,7285,460
SAL20080,Aspendale Gardens,6427,496
SAL20081,Athlone,147,231
SAL20082,Attwood,3309,358
SAL20083,Aubrey,3,0
SAL20084,Auchmore,5,0
SAL20085,Avalon,255,398
SAL20086,Avenel,1112,300
SAL20087,Avoca,1356,210
SAL20088,Avon Plains,8,0
SAL20089,Avondale Heights,12388,400
SAL20090,Avonmore,42,295
SAL20091,Avonsleigh,844,356
SAL20092,Axe Creek,452,270
SAL20093,Axedale,984,330
SAL20094,Ayrford,39,200
SAL20095,Bacchus Marsh,7808,330
SAL20096,Baddaginnie,347,260
SAL20097,Badger Creek,1610,323
SAL20098,Bael Bael,10,0
SAL20099,Bagshot,355,400
SAL20100,Bagshot North,39,210
SAL20101,Bahgallah,56,175
SAL20102,Bailieston,120,275
SAL20103,Bairnsdale,7905,270
SAL20104,Bakery Hill,180,313
SAL20105,Balaclava,5392,386
SAL20106,Bald Hills,114,230
SAL20107,Balintore,59,300
SAL20108,Ballan,3392,330
SAL20109,Ballangeich,71,150
SAL20110,Ballapur,19,80
SAL20111,Ballarat Central,5378,300
SAL20112,Ballarat East,5937,290
SAL20113,Ballarat North,4041,285
SAL20114,Ballendella,120,120
SAL20115,Balliang,254,300
SAL20116,Balliang East,199,410
SAL20117,Ballyrogan,77,114
SAL20118,Balmattum,135,260
SAL20119,Balmoral,281,100
SAL20120,Balnarring,2371,480
SAL20121,Balnarring Beach,471,423
SAL20122,Balook,9,0
SAL20123,Balwyn,13495,451
SAL20124,Balwyn North,21302,554
SAL20125,Bamawm,491,213
SAL20126,Bamawm Extension,282,160
SAL20127,Bambra,115,300
SAL20128,Bamganie,44,275
SAL20129,Bandiana,855,380
SAL20130,Bangerang,62,200
SAL20131,Bangholme,749,176
SAL20132,Bannerton,78,230
SAL20133,Bannockburn,6470,390
SAL20134,Banyan,22,0
SAL20135,Banyena,27,0
SAL20136,Baranduda,3041,355
SAL20137,Barfold,82,165
SAL20138,Baringhup,185,323
SAL20139,Baringhup West,11,250
SAL20140,Barjarg,141,253
SAL20141,Barkers Creek,487,250
SAL20142,Barkly,49,0
SAL20143,Barkstead,41,0
SAL20144,Barmah,229,190
SAL20145,Barnadown,12,100
SAL20146,Barnawartha,987,293
SAL20147,Barnawartha North,188,210
SAL20148,Baromi,149,298
SAL20149,Barongarook,458,300
SAL20150,Barongarook West,291,370
SAL20151,Barrabool,247,301
SAL20152,Barrakee,22,0
SAL20153,Barramunga,11,220
SAL20154,Barraport,45,235
