route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"3-109-A-mjp-1","UJ","1870.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1871.UJ.3-109-A-mjp-1.2.H","3-109-A-mjp-1.2.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1872.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1873.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1874.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1875.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1876.UJ.3-109-A-mjp-1.7.R","3-109-A-mjp-1.7.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1877.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1878.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1879.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1880.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1881.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1907.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1908.UJ.3-109-A-mjp-1.11.R","3-109-A-mjp-1.11.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1910.UJ.3-109-A-mjp-1.2.H","3-109-A-mjp-1.2.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1911.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1912.UJ.3-109-A-mjp-1.2.H","3-109-A-mjp-1.2.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1913.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1914.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1915.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1916.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1917.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1918.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1919.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
