University,Campus,Co-ordinates,Surrounding Suburbs
La Trobe University,Bundoora,"-37.721470725876586, 145.05018442866754",Reservoir,Lalor,Carlingford,Regent West,Preston West,Preston South,Thomastown,Kingsbury,Heidelberg West,Mill Park,Macleod,Watsonia North,Watsonia,Greensborough,Plenty,Yarrambat,South Morang,Epping,Yallambie,Preston
Monash University,Clayton,"-37.91281395077763, 145.1359658075086",Oakleigh,Oakleigh east,Huntingdale,Mount waverley,Notting Hill,Glen Waverley,Mulgrave,Wheelers Hill,Springvale,Clayton South,Clarinda,Chadstone,Ashwood,Malvern East,Carnegie,Scoresby,Bentleigh east,Murrumbeena,Ashburton,Burwood
RMIT,CBD,"-37.808206032339776, 144.96373474983307",East Melbourne,South Yarra,Albert Park,Middle park,South Melbourne,Port Melbourne,Docklands,East Melbourne,West Melbourne,North Melbourne,Kensington,Parkville,Carlton,Fitzroy,Collingwood,Abbotsford,Richmond,Hawthorn,Flemington,Footscray
Swinburne University of Technology,Hawthorn,"-37.82072257848187, 145.03840511677043",Toorak,Burnley,Richmond,Hawthorn East,Balwyn,Balwyn North,Kooyong,Camberwell,Canterbury,Surrey Hills,Kew,Abbotsford,Melbourne,South Yarra,Malvern,Cremorne,Armadale,Glen Iris,Kew East,Mont Albert
University of Melbourne,Parkville,"-37.798345879755125, 144.9608881670303",East Melbourne,South Yarra,Albert Park,Middle park,South Melbourne,Port Melbourne,Docklands,East Melbourne,West Melbourne,North Melbourne,Kensington,Parkville,Carlton,Fitzroy,Collingwood,Abbotsford,Richmond,Hawthorn,Flemington,Footscray
Victoria University,Footscray,"-37.79371434526608, 144.89849564004695",Maribyrong,Ascot Vale,Kensington,Flemington,West Footscray,Braybook,Tottenham,Yarraville,West Melbourne,North Melbourne,,Parkville,Melbourne,Sunshine,Avondale Heights,Sunshine North,Essendon West,Aberfeldie,Moonee Ponds,Travancore
Australian Catholic University,CBD,"-37.806734068408865, 144.97780534798017",East Melbourne,South Yarra,Albert Park,Middle park,South Melbourne,Port Melbourne,Docklands,East Melbourne,West Melbourne,North Melbourne,Kensington,Parkville,Carlton,Fitzroy,Collingwood,Abbotsford,Richmond,Hawthorn,Flemington,Footscray
Charles Darwin University,CBD,"-37.81278575281138, 144.9611392818542",East Melbourne,South Yarra,Albert Park,Middle park,South Melbourne,Port Melbourne,Docklands,East Melbourne,West Melbourne,North Melbourne,Kensington,Parkville,Carlton,Fitzroy,Collingwood,Abbotsford,Richmond,Hawthorn,Flemington,Footscray
CQUniversity,CBD,"-37.81799302167178, 144.95486288185438",East Melbourne,South Yarra,Albert Park,Middle park,South Melbourne,Port Melbourne,Docklands,East Melbourne,West Melbourne,North Melbourne,Kensington,Parkville,Carlton,Fitzroy,Collingwood,Abbotsford,Richmond,Hawthorn,Flemington,Footscray
Deakin University,Burwood,"-37.84429493400839, 145.11277056442717",Buwood East,Blackburn South,Box Hill South,Surrey Hills,Camberwell,Glen Iris,Ashburton,Ashwood,MountWaverley,Glen Waverley,Vermont South,Vermont,Forest Hill,Blackburn,Box hill,Mont Albert,Balwyn,Canterbury,Malvern East,Chadstone
La Trobe University,Collins Street,"-37.816205766036134, 144.96282729719897",East Melbourne,South Yarra,Albert Park,Middle park,South Melbourne,Port Melbourne,Docklands,East Melbourne,West Melbourne,North Melbourne,Kensington,Parkville,Carlton,Fitzroy,Collingwood,Abbotsford,Richmond,Hawthorn,Flemington,Footscray
Monash University,Caufield,"-37.87720841411355, 145.04575131625123",Caufield South,Glen Huntly,Caufield East,Caufield North,Elsternwick,Gardenvale,Brighton East,Ormond,Carnegie,Malvern East,Glen Iris,Malvern,Armadale,St kilda East,Balaclava,Ripponlea,Elwood,Brighton,Brighton East,Mckinnon
Monash University,Parkville,"-37.783428686550764, 144.95887454375247",Brunswick West,Brunswick,Princess hill,Carlton North,Carlton,Melbourne,North Melbourne,Kensington,Flemington,Ascot Vale,Moonee ponds,Essendon,Pascoe vale south,coburg,thornbury,brunswick east,fitzroy north,fitzroy,collingwood,west melbourne
Monash University,Peninsula,"-38.15265192691574, 145.13578790238898",Frankston,Frankston South,Langwarrin,Frankston North,Seaford,Skye,carrum downs,patterson lakes,carrum,langwarrin south,baxter,cranbourne south,cranbourne,cranbourne west,mornington,sommerville,mount eliza,bonbeach,chelsea,clyde north
